orderid,dateid,countryid,categoryid,amount
85167,312,7,2,6555
85168,312,18,3,4471
85169,312,37,1,4012
85170,312,4,2,6128
85171,312,20,3,2664
85172,312,47,2,5555
85173,312,42,2,3669
85174,312,17,1,1113
85175,312,34,1,3399
85176,312,19,2,1079
85177,312,39,2,3929
85178,312,8,1,2816
85179,312,39,3,634
85180,312,10,2,2420
85181,312,22,2,7927
85182,312,17,4,2906
85183,312,51,2,6481
85184,312,18,4,2315
85185,312,1,5,6366
85186,312,44,4,6453
85187,312,20,1,5548
85188,312,38,4,7209
85189,312,9,2,5003
85190,312,9,4,1386
85191,312,25,1,7963
85192,312,50,2,5834
85193,312,26,4,5519
85194,312,9,3,1415
85195,312,38,2,1089
85196,312,20,2,5926
85197,312,18,5,1957
85198,312,40,4,3864
85199,312,48,4,7004
85200,312,16,5,1505
85201,312,25,4,2339
85202,312,54,4,118
85203,312,45,4,4914
85204,312,15,4,2170
85205,312,40,1,7775
85206,312,39,1,2712
85207,312,35,1,7623
85208,312,35,4,2973
85209,312,32,3,173
85210,312,49,2,6708
85211,312,8,3,2236
85212,312,30,4,1518
85213,312,1,3,4400
85214,312,28,2,1118
85215,312,29,4,739
85216,312,8,5,2626
85217,312,49,3,5009
85218,312,20,4,2975
85219,312,21,1,3331
85220,312,2,2,745
85221,312,21,5,7517
85222,312,55,2,3421
85223,312,52,4,1419
85224,312,3,1,2132
85225,312,39,5,4806
85226,312,19,1,6785
85227,312,34,4,6700
85228,312,19,3,2217
85229,312,47,1,2109
85230,312,13,4,7126
85231,312,45,2,3868
85232,312,30,3,7936
85233,312,43,4,2639
85234,312,56,1,6765
85235,312,30,5,7997
85236,312,24,4,4782
85237,312,22,3,5842
85238,312,37,2,5926
85239,312,52,2,675
85240,312,12,1,5946
85241,312,48,3,1796
85242,312,56,3,1011
85243,312,43,2,2662
85244,312,36,1,6495
85245,312,44,1,2057
85246,312,27,4,3421
85247,312,43,1,3413
85248,312,29,3,2531
85249,312,19,5,5682
85250,312,13,3,7960
85251,312,6,3,4641
85252,312,15,2,6513
85253,312,51,3,6946
85254,312,28,3,7323
85255,312,21,3,7668
85256,312,50,4,5855
85257,312,44,2,1423
85258,312,25,5,6061
85259,312,46,3,3181
85260,312,54,3,3268
85261,312,51,5,2340
85262,312,2,5,1973
85263,312,55,1,4596
85264,312,17,2,868
85265,312,21,4,2704
85266,312,38,3,174
85267,312,11,5,6326
85268,312,47,4,3384
85269,312,16,3,3914
85270,312,11,4,6167
85271,312,11,2,6514
85272,312,33,3,6407
85273,312,15,5,6185
85274,312,16,2,5979
85275,312,33,5,1262
85276,312,28,4,5187
85277,312,20,5,2993
85278,312,25,2,7974
85279,312,18,2,2184
85280,312,42,4,492
85281,312,54,5,5240
85282,312,35,3,957
85283,312,28,5,6005
85284,312,27,2,4381
85285,312,2,4,5237
85286,312,10,4,5419
85287,312,6,2,6938
85288,312,5,1,7524
85289,312,13,5,527
85290,312,12,3,1579
85291,312,12,2,5955
85292,312,52,5,1154
85293,312,53,4,1951
85294,312,41,5,4962
85295,312,29,5,2843
85296,312,27,3,2987
85297,312,31,4,1022
85298,312,3,3,1873
85299,312,33,2,2076
85300,312,6,1,826
85301,312,52,3,3856
85302,312,43,3,5961
85303,312,42,1,6324
85304,312,3,5,2131
85305,312,29,1,5662
85306,312,47,5,4468
85307,312,53,3,3570
85308,312,23,2,4676
85309,312,5,3,1062
85310,312,25,3,5935
85311,312,26,2,798
85312,312,3,4,6187
85313,312,5,4,380
85314,312,34,2,2042
85315,312,40,3,2673
85316,312,22,1,2113
85317,312,54,2,2973
85318,312,10,5,7978
85319,312,4,3,5608
85320,312,23,4,3387
85321,312,49,1,6785
85322,312,1,4,7668
85323,312,14,4,1048
85324,312,30,1,4663
85325,312,10,1,4365
85326,312,44,5,5987
85327,312,54,1,1293
85328,312,9,1,1711
85329,312,45,3,4183
85330,312,23,1,48
85331,312,48,1,7111
85332,312,46,2,2252
85333,312,15,3,3743
85334,312,55,3,6721
85335,312,32,5,870
85336,312,48,5,776
85337,312,40,2,5106
85338,312,56,2,7419
85339,312,4,1,5070
85340,312,31,3,3234
85341,312,5,2,2174
85342,312,45,1,7602
85343,312,31,2,767
85344,312,44,3,5005
85345,312,39,4,5182
85346,312,36,2,355
85347,312,16,4,1625
85348,312,16,1,4509
85349,312,14,2,6991
85350,312,26,3,6999
85351,312,2,3,3386
85352,312,51,4,1555
85353,312,53,1,2872
85354,312,41,3,3621
85355,312,7,1,2056
85356,312,27,5,1244
85357,312,33,1,3961
85358,312,45,5,6098
85359,312,4,4,885
85360,312,17,3,4207
85361,312,37,4,2272
85362,312,6,5,5922
85363,312,24,5,1980
85364,312,17,5,2469
85365,312,7,4,3760
85366,312,18,1,6040
85367,312,46,5,3202
85368,312,19,4,634
85369,312,56,5,2667
85370,312,35,2,322
85371,312,24,1,3747
85372,312,50,1,6343
85373,312,10,3,5253
85374,312,1,1,623
85375,312,36,4,4849
85376,312,26,5,1700
85377,312,3,2,6682
85378,312,30,2,3296
85379,312,8,4,4757
85380,312,46,4,1758
85381,312,42,3,1144
85382,312,2,1,4578
85383,312,14,5,2820
85384,312,47,3,1979
85385,312,5,5,6494
85386,312,32,2,6642
85387,312,41,2,412
85388,312,49,5,5969
85389,312,43,5,1148
85390,312,31,5,4600
85391,312,37,3,6338
85392,312,38,1,2680
85393,312,32,1,651
85394,312,12,4,2902
85395,312,46,1,2583
85396,312,34,3,5641
85397,312,36,5,4362
85398,312,9,5,3079
85399,312,14,3,1803
85400,312,6,4,3909
85401,312,51,1,2608
85402,312,49,4,390
85403,312,37,5,3526
85404,312,7,5,4055
85405,312,22,5,6578
85406,312,41,1,1554
85407,312,13,2,6673
85408,312,21,2,3791
85409,312,53,5,829
85410,312,14,1,7498
85411,312,34,5,133
85412,312,42,5,7810
85413,312,50,3,679
85414,312,24,2,4766
85415,312,48,2,7661
85416,313,43,4,1771
85417,313,11,3,2973
85418,313,39,1,4368
85419,313,48,3,326
85420,313,28,2,5030
85421,313,4,5,4464
85422,313,36,3,3930
85423,313,7,5,2388
85424,313,45,2,1861
85425,313,48,1,7096
85426,313,27,1,7224
85427,313,15,1,7508
85428,313,3,3,5994
85429,313,16,2,1505
85430,313,43,5,7969
85431,313,43,2,56
85432,313,13,2,60
85433,313,40,5,4132
85434,313,25,1,5490
85435,313,43,1,4742
85436,313,42,4,3843
85437,313,19,5,4038
85438,313,11,2,4365
85439,313,52,5,3779
85440,313,27,4,4645
85441,313,37,3,4077
85442,313,4,2,1553
85443,313,7,1,896
85444,313,27,5,1490
85445,313,11,1,2550
85446,313,2,4,2245
85447,313,1,2,7911
85448,313,40,1,6249
85449,313,20,5,1084
85450,313,34,3,7176
85451,313,3,4,2975
85452,313,28,3,4848
85453,313,55,2,522
85454,313,29,1,1532
85455,313,9,1,6055
85456,313,9,2,6592
85457,313,15,3,3637
85458,313,1,3,505
85459,313,37,2,5537
85460,313,25,4,5770
85461,313,26,4,3116
85462,313,50,4,3077
85463,313,56,3,1453
85464,313,22,5,4564
85465,313,15,2,4922
85466,313,24,5,4517
85467,313,53,1,4321
85468,313,39,2,2630
85469,313,11,4,6237
85470,313,49,1,5179
85471,313,45,3,366
85472,313,53,5,2635
85473,313,26,2,5410
85474,313,56,5,3739
85475,313,22,1,6131
85476,313,53,4,6354
85477,313,39,4,4202
85478,313,51,4,7492
85479,313,45,5,6819
85480,313,27,2,4984
85481,313,10,1,4233
85482,313,45,1,7565
85483,313,21,5,5483
85484,313,18,2,1603
85485,313,45,4,3300
85486,313,42,1,5975
85487,313,37,1,7273
85488,313,23,5,571
85489,313,30,4,1578
85490,313,36,5,3168
85491,313,33,4,6092
85492,313,19,3,2640
85493,313,16,5,7281
85494,313,41,5,65
85495,313,46,4,57
85496,313,41,2,3067
85497,313,40,4,6787
85498,313,2,1,4247
85499,313,40,2,7499
85500,313,35,4,6653
85501,313,54,2,2478
85502,313,6,2,3830
85503,313,41,4,2605
85504,313,1,1,6653
85505,313,29,2,7251
85506,313,2,3,226
85507,313,20,1,1269
85508,313,8,2,316
85509,313,12,5,6716
85510,313,30,2,7680
85511,313,16,3,4912
85512,313,42,2,830
85513,313,43,3,6195
85514,313,7,2,5834
85515,313,1,4,3503
85516,313,5,4,5436
85517,313,35,1,6398
85518,313,36,2,2873
85519,313,54,3,5417
85520,313,26,3,7029
85521,313,10,3,5794
85522,313,6,3,6726
85523,313,46,1,2407
85524,313,47,3,1221
85525,313,5,3,600
85526,313,44,3,247
85527,313,52,2,6338
85528,313,55,3,2517
85529,313,49,3,107
85530,313,2,2,3828
85531,313,32,4,7412
85532,313,38,5,6442
85533,313,1,5,7576
85534,313,38,4,2039
85535,313,22,3,2361
85536,313,34,4,7442
85537,313,41,3,7787
85538,313,11,5,5047
85539,313,56,1,460
85540,313,31,5,6161
85541,313,25,2,2017
85542,313,8,3,4353
85543,313,22,2,1163
85544,313,31,4,1272
85545,313,25,5,6909
85546,313,55,1,5412
85547,313,35,3,4239
85548,313,42,5,7593
85549,313,52,4,2825
85550,313,24,2,2537
85551,313,51,3,3224
85552,313,21,1,761
85553,313,18,5,2521
85554,313,18,3,7092
85555,313,4,4,184
85556,313,52,1,6254
85557,313,44,5,2527
85558,313,28,4,259
85559,313,9,5,7322
85560,313,5,5,5519
85561,313,21,2,4685
85562,313,14,2,958
85563,313,26,5,614
85564,313,23,4,3565
85565,313,56,2,4026
85566,313,53,2,2019
85567,313,51,2,5294
85568,313,52,3,4876
85569,313,8,1,5505
85570,313,39,5,7345
85571,313,17,5,6088
85572,313,32,3,3853
85573,313,55,5,101
85574,313,41,1,4181
85575,313,44,4,6287
85576,313,54,1,1618
85577,313,12,1,3477
85578,313,34,2,312
85579,313,20,4,4807
85580,313,7,3,5838
85581,313,17,1,6402
85582,313,33,2,3462
85583,313,27,3,3993
85584,313,50,2,5173
85585,313,26,1,2892
85586,313,3,5,7556
85587,313,35,5,1165
85588,313,24,4,1586
85589,313,48,2,7375
85590,313,13,4,7262
85591,313,6,4,4226
85592,313,21,3,1819
85593,313,2,5,4188
85594,313,53,3,5874
85595,313,33,3,5813
85596,313,20,2,4840
85597,313,42,3,5824
85598,313,12,4,2132
85599,313,22,4,6590
85600,313,37,4,5321
85601,313,29,5,2840
85602,313,23,3,4262
85603,313,30,5,2451
85604,313,15,5,4698
85605,313,47,1,3483
85606,313,38,3,6791
85607,313,47,2,5120
85608,313,50,1,7997
85609,313,5,2,1257
85610,313,46,3,6479
85611,313,30,3,3178
85612,313,28,5,3649
85613,313,10,4,2977
85614,313,24,3,5118
85615,313,28,1,1352
85616,313,14,5,4604
85617,313,10,2,4762
85618,313,37,5,2643
85619,313,8,5,4640
85620,313,13,3,7062
85621,313,17,3,1740
85622,313,18,4,7911
85623,313,44,1,840
85624,313,38,1,7333
85625,313,23,2,3778
85626,313,32,5,7374
85627,313,34,1,2155
85628,313,12,2,6050
85629,313,6,1,5602
85630,313,50,3,4540
85631,313,14,4,880
85632,313,36,4,731
85633,313,32,2,4173
85634,313,3,2,3378
85635,313,23,1,4001
85636,313,8,4,1170
85637,313,4,1,3657
85638,313,36,1,7304
85639,313,13,1,4168
85640,313,40,3,6886
85641,313,54,4,4559
85642,313,35,2,7184
85643,313,14,3,2795
85644,313,4,3,7978
85645,313,47,4,3642
85646,313,6,5,6372
85647,313,10,5,1379
85648,313,21,4,359
85649,313,46,5,7410
85650,313,9,3,3430
85651,313,33,5,6528
85652,313,17,2,6730
85653,313,51,5,727
85654,313,18,1,6610
85655,313,25,3,3339
85656,313,49,4,4545
85657,313,19,4,5631
85658,313,48,4,105
85659,313,14,1,2711
85660,313,31,2,7577
85661,313,34,5,2805
85662,313,32,1,5351
85663,313,38,2,5274
85664,313,48,5,4690
85665,313,16,4,7020
85666,313,54,5,4106
85667,313,13,5,5909
85668,313,30,1,4159
85669,313,39,3,5952
85670,313,31,3,7325
85671,313,29,3,5390
85672,313,29,4,3332
85673,313,56,4,1024
85674,313,47,5,4726
85675,313,51,1,4237
85676,313,15,4,1711
85677,313,31,1,6913
85678,313,55,4,488
85679,313,5,1,1026
85680,313,24,1,2013
85681,313,19,2,3400
85682,313,7,4,4959
85683,313,12,3,7908
85684,313,44,2,2126
85685,313,33,1,3173
85686,313,49,2,1212
85687,314,9,4,6054
85688,314,23,3,7400
85689,314,41,2,4106
85690,314,8,3,1209
85691,314,22,5,7125
85692,314,42,5,7117
85693,314,41,5,4072
85694,314,25,1,7793
85695,314,27,4,3058
85696,314,40,2,3091
85697,314,1,3,2843
85698,314,24,3,1726
85699,314,33,3,4836
85700,314,28,1,2604
85701,314,39,5,3368
85702,314,47,3,165
85703,314,48,2,186
85704,314,16,1,1954
85705,314,12,5,348
85706,314,55,3,2300
85707,314,11,5,5709
85708,314,18,1,3340
85709,314,32,4,3210
85710,314,32,2,3071
85711,314,11,2,959
85712,314,4,3,5745
85713,314,19,3,7431
85714,314,13,2,1535
85715,314,33,5,6787
85716,314,2,1,5216
85717,314,21,2,4888
85718,314,2,2,3789
85719,314,23,2,4261
85720,314,14,5,1075
85721,314,39,1,2217
85722,314,23,1,7312
85723,314,55,5,3350
85724,314,54,4,7547
85725,314,13,1,6478
85726,314,46,4,1807
85727,314,48,5,278
85728,314,50,2,7516
85729,314,50,5,5979
85730,314,55,1,3072
85731,314,28,3,3849
85732,314,7,5,2131
85733,314,44,2,1481
85734,314,42,3,4705
85735,314,38,1,5301
85736,314,11,4,2227
85737,314,19,5,6858
85738,314,29,3,6866
85739,314,40,3,4154
85740,314,13,5,5813
85741,314,51,4,4871
85742,314,3,1,7296
85743,314,47,5,268
85744,314,19,4,7195
85745,314,5,3,7192
85746,314,33,1,795
85747,314,29,2,1157
85748,314,52,5,2487
85749,314,35,2,1067
85750,314,21,4,4277
85751,314,42,2,1067
85752,314,28,4,7492
85753,314,46,3,4430
85754,314,36,1,1027
85755,314,46,1,1367
85756,314,54,2,4002
85757,314,45,1,5720
85758,314,50,3,1338
85759,314,39,3,1421
85760,314,16,5,3601
85761,314,51,1,175
85762,314,10,2,5737
85763,314,14,2,5245
85764,314,19,1,3529
85765,314,49,3,6631
85766,314,20,5,3613
85767,314,1,1,4336
85768,314,52,3,152
85769,314,4,5,3421
85770,314,14,4,1778
85771,314,49,4,1850
85772,314,6,2,4271
85773,314,18,3,2203
85774,314,51,2,7838
85775,314,16,4,4732
85776,314,45,5,1387
85777,314,44,3,5106
85778,314,3,2,7830
85779,314,49,5,3308
85780,314,10,5,7866
85781,314,40,1,5797
85782,314,6,4,4343
85783,314,37,1,1724
85784,314,12,4,7608
85785,314,35,1,321
85786,314,49,1,3659
85787,314,6,1,4116
85788,314,34,3,3726
85789,314,25,5,1245
85790,314,15,5,254
85791,314,31,1,7448
85792,314,11,1,2854
85793,314,7,4,4145
85794,314,5,1,580
85795,314,28,5,2330
85796,314,36,4,5918
85797,314,27,2,861
85798,314,33,4,686
85799,314,27,1,4835
85800,314,32,5,3868
85801,314,55,4,2441
85802,314,30,1,6960
85803,314,2,4,3501
85804,314,39,2,4668
85805,314,37,3,7647
85806,314,44,4,6348
85807,314,36,3,1857
85808,314,35,4,4377
85809,314,4,1,1627
85810,314,3,4,4391
85811,314,20,2,3451
85812,314,34,5,61
85813,314,45,3,6107
85814,314,29,4,6798
85815,314,23,5,6642
85816,314,6,3,1735
85817,314,9,1,7676
85818,314,44,1,141
85819,314,53,1,986
85820,314,17,1,1150
85821,314,15,3,6682
85822,314,48,4,4965
85823,314,44,5,4986
85824,314,29,5,3149
85825,314,14,1,5329
85826,314,52,2,1078
85827,314,46,2,7595
85828,314,43,3,2058
85829,314,14,3,2970
85830,314,12,3,2265
85831,314,20,3,1834
85832,314,40,5,358
85833,314,35,3,5375
85834,314,20,1,3494
85835,314,45,4,2947
85836,314,37,2,4481
85837,314,19,2,2351
85838,314,22,2,1424
85839,314,8,5,2930
85840,314,5,4,3430
85841,314,49,2,4064
85842,314,26,3,4479
85843,314,36,5,5647
85844,314,48,1,4570
85845,314,11,3,6745
85846,314,22,1,4611
85847,314,15,4,7427
85848,314,24,2,437
85849,314,15,2,6158
85850,314,12,2,3401
85851,314,43,2,7112
85852,314,17,3,7550
85853,314,17,5,2438
85854,314,3,3,2218
85855,314,18,2,1235
85856,314,36,2,4149
85857,314,34,2,5030
85858,314,53,2,6436
85859,314,1,4,6567
85860,314,9,5,7050
85861,314,16,3,3785
85862,314,53,5,4211
85863,314,32,3,1345
85864,314,15,1,2401
85865,314,26,1,2487
85866,314,38,5,2180
85867,314,21,3,4315
85868,314,38,4,7138
85869,314,24,1,2522
85870,314,24,5,4111
85871,314,55,2,3320
85872,314,33,2,7230
85873,314,54,5,374
85874,314,52,4,1741
85875,314,52,1,3687
85876,314,42,1,5806
85877,314,54,3,583
85878,314,43,4,7518
85879,314,10,4,4913
85880,314,16,2,3149
85881,314,38,2,5579
85882,314,4,4,3893
85883,314,7,2,3957
85884,314,28,2,5528
85885,314,47,1,5699
85886,314,45,2,1320
85887,314,56,4,7011
85888,314,3,5,7518
85889,314,7,3,810
85890,314,13,3,5195
85891,314,17,4,7936
85892,314,47,4,1993
85893,314,53,3,4736
85894,314,23,4,7765
85895,314,7,1,1797
85896,314,31,5,5473
85897,314,56,5,4640
85898,314,37,4,211
85899,314,27,5,4013
85900,314,5,2,7285
85901,314,1,5,2457
85902,314,29,1,7667
85903,314,54,1,1086
85904,314,27,3,3472
85905,314,43,5,7098
85906,314,35,5,4437
85907,314,26,2,5388
85908,314,40,4,2442
85909,314,56,2,787
85910,314,38,3,5145
85911,314,37,5,4811
85912,314,8,4,4627
85913,314,2,5,5613
85914,314,34,1,1875
85915,314,9,2,1685
85916,314,2,3,6057
85917,314,9,3,7093
85918,314,41,1,2077
85919,314,18,4,2545
85920,314,17,2,5985
85921,314,30,2,6556
85922,314,10,3,2521
85923,314,21,1,7917
85924,314,39,4,763
85925,314,22,3,7808
85926,314,48,3,3366
85927,314,25,2,7348
85928,314,25,3,2446
85929,314,56,1,2333
85930,314,30,5,390
85931,314,56,3,2475
85932,314,1,2,3762
85933,314,21,5,10
85934,314,51,3,3656
85935,314,13,4,5070
85936,314,22,4,6166
85937,314,50,4,3066
85938,314,8,1,3883
85939,314,42,4,2967
85940,314,41,3,539
85941,314,30,4,1579
85942,314,53,4,4425
85943,314,47,2,4956
85944,314,31,3,5737
85945,314,46,5,904
85946,314,43,1,1058
85947,314,20,4,7483
85948,314,24,4,2685
85949,314,10,1,1002
85950,314,5,5,2695
85951,314,30,3,6101
85952,314,31,4,3338
85953,314,32,1,815
85954,314,51,5,3844
85955,314,12,1,961
85956,314,4,2,6342
85957,314,34,4,7490
85958,314,41,4,1323
85959,314,18,5,6086
85960,314,25,4,5925
85961,315,5,4,3137
85962,315,28,4,5451
85963,315,40,1,6458
85964,315,37,4,7526
85965,315,46,5,7657
85966,315,27,1,4895
85967,315,18,5,6510
85968,315,42,2,7112
85969,315,54,4,5425
85970,315,49,2,5754
85971,315,28,3,7699
85972,315,17,1,1136
85973,315,22,2,5099
85974,315,1,2,4163
85975,315,56,5,6970
85976,315,44,1,3883
85977,315,27,2,6403
85978,315,27,4,5023
85979,315,22,1,6477
85980,315,54,5,2523
85981,315,30,3,7769
85982,315,1,5,1195
85983,315,16,1,2053
85984,315,45,1,4798
85985,315,49,3,4500
85986,315,37,1,2484
85987,315,34,1,2645
85988,315,25,1,4491
85989,315,21,2,4305
85990,315,3,2,4120
85991,315,5,3,4503
85992,315,21,4,2584
85993,315,2,4,7855
85994,315,41,2,6478
85995,315,18,4,5797
85996,315,51,2,1051
85997,315,13,1,2147
85998,315,6,5,1686
85999,315,9,5,5494
86000,315,36,1,3998
86001,315,31,5,3999
86002,315,20,5,4149
86003,315,35,2,7707
86004,315,33,5,7154
86005,315,47,1,5249
86006,315,53,5,1201
86007,315,7,3,3990
86008,315,17,4,7858
86009,315,10,1,859
86010,315,49,1,4679
86011,315,12,1,1717
86012,315,35,5,5200
86013,315,8,2,2662
86014,315,8,1,6461
86015,315,56,3,4973
86016,315,14,1,750
86017,315,48,2,4954
86018,315,19,2,2317
86019,315,20,2,2430
86020,315,2,2,3899
86021,315,30,1,1151
86022,315,52,5,6053
86023,315,11,5,7163
86024,315,12,3,2929
86025,315,4,4,7253
86026,315,36,3,7648
86027,315,20,1,1306
86028,315,14,5,1205
86029,315,16,3,5805
86030,315,23,1,5694
86031,315,42,5,6862
86032,315,39,1,5471
86033,315,15,5,763
86034,315,32,2,611
86035,315,29,5,4399
86036,315,21,3,3172
86037,315,45,4,2504
86038,315,38,1,1239
86039,315,13,3,7707
86040,315,55,4,3007
86041,315,39,5,2661
86042,315,48,3,3665
86043,315,22,4,341
86044,315,3,1,2335
86045,315,41,1,4272
86046,315,49,5,106
86047,315,29,1,5652
86048,315,41,5,7891
86049,315,29,2,5652
86050,315,43,4,7499
86051,315,24,5,2437
86052,315,21,5,4321
86053,315,15,1,3936
86054,315,31,1,7079
86055,315,10,2,671
86056,315,44,5,1194
86057,315,37,5,5231
86058,315,1,3,7820
86059,315,35,1,4526
86060,315,24,1,5797
86061,315,41,4,2949
86062,315,19,4,2028
86063,315,39,3,3883
86064,315,51,3,7786
86065,315,26,1,6648
86066,315,15,2,848
86067,315,18,3,4583
86068,315,6,1,1963
86069,315,38,2,5311
86070,315,47,5,3043
86071,315,46,4,6742
86072,315,20,3,4279
86073,315,35,3,7678
86074,315,40,3,7569
86075,315,20,4,6112
86076,315,21,1,5065
86077,315,44,2,5090
86078,315,33,2,6067
86079,315,40,5,2842
86080,315,22,3,6235
86081,315,5,1,2127
86082,315,8,3,5722
86083,315,35,4,7022
86084,315,9,1,2144
86085,315,55,2,6804
86086,315,28,2,4321
86087,315,1,1,587
86088,315,36,4,7341
86089,315,15,4,4053
86090,315,38,4,5925
86091,315,48,5,1898
86092,315,11,4,4426
86093,315,55,3,7075
86094,315,26,5,5419
86095,315,53,2,7499
86096,315,45,2,5390
86097,315,41,3,3957
86098,315,9,2,6140
86099,315,10,4,7384
86100,315,51,4,6929
86101,315,44,4,7944
86102,315,55,5,1293
86103,315,7,1,6245
86104,315,34,5,1584
86105,315,23,5,3427
86106,315,51,1,905
86107,315,53,4,3313
86108,315,34,3,2277
86109,315,31,4,714
86110,315,54,3,2565
86111,315,44,3,809
86112,315,17,2,519
86113,315,45,5,1784
86114,315,24,2,5489
86115,315,13,2,1315
86116,315,52,4,1871
86117,315,54,1,6370
86118,315,11,2,3385
86119,315,37,2,5937
86120,315,34,4,7967
86121,315,30,4,3156
86122,315,4,3,7436
86123,315,46,2,3326
86124,315,33,1,3358
86125,315,18,1,6970
86126,315,26,3,5191
86127,315,34,2,6404
86128,315,8,4,2068
86129,315,38,5,1324
86130,315,7,2,1643
86131,315,32,1,559
86132,315,31,2,2938
86133,315,24,4,6873
86134,315,17,3,248
86135,315,42,4,2355
86136,315,19,1,346
86137,315,26,4,6566
86138,315,16,2,4508
86139,315,32,4,3327
86140,315,45,3,4602
86141,315,10,5,1217
86142,315,32,3,258
86143,315,31,3,5101
86144,315,10,3,5929
86145,315,33,3,7559
86146,315,36,2,7320
86147,315,55,1,4926
86148,315,23,3,6872
86149,315,25,3,214
86150,315,56,2,3796
86151,315,9,4,3267
86152,315,3,5,6540
86153,315,43,5,2677
86154,315,6,3,718
86155,315,23,2,4547
86156,315,46,3,937
86157,315,39,2,3483
86158,315,52,1,188
86159,315,50,5,5858
86160,315,19,3,3017
86161,315,40,4,1427
86162,315,14,2,2780
86163,315,12,4,820
86164,315,22,5,4821
86165,315,46,1,2870
86166,315,6,2,4914
86167,315,53,3,7127
86168,315,26,2,3537
86169,315,25,5,2019
86170,315,27,3,4055
86171,315,30,2,5159
86172,315,14,3,2568
86173,315,5,5,197
86174,315,50,1,273
86175,315,52,3,3409
86176,315,13,4,2499
86177,315,28,1,5681
86178,315,11,1,52
86179,315,32,5,4037
86180,315,5,2,4323
86181,315,19,5,7266
86182,315,43,3,4751
86183,315,39,4,6109
86184,315,54,2,6582
86185,315,27,5,6971
86186,315,37,3,2303
86187,315,42,1,2831
86188,315,8,5,5116
86189,315,50,2,2229
86190,315,30,5,2587
86191,315,3,4,6908
86192,315,25,4,5820
86193,315,28,5,6694
86194,315,56,1,6627
86195,315,16,4,6152
86196,315,43,1,7356
86197,315,12,2,2702
86198,315,9,3,1040
86199,315,48,1,7037
86200,315,13,5,630
86201,315,17,5,1299
86202,315,29,4,4221
86203,315,40,2,7073
86204,315,33,4,5715
86205,315,4,1,4273
86206,315,43,2,3243
86207,315,47,3,2249
86208,315,49,4,155
86209,315,48,4,3313
86210,315,47,4,3854
86211,315,50,3,7716
86212,315,29,3,2514
86213,315,36,5,2862
86214,315,12,5,2346
86215,315,24,3,4352
86216,315,7,4,222
86217,315,14,4,5385
86218,315,7,5,616
86219,315,56,4,3620
86220,315,2,1,5903
86221,315,38,3,2991
86222,315,4,2,2483
86223,315,11,3,1971
86224,315,52,2,5694
86225,315,18,2,3310
86226,315,6,4,7590
86227,315,42,3,2059
86228,315,51,5,1578
86229,315,2,3,1451
86230,315,15,3,171
86231,315,2,5,3876
86232,315,1,4,6585
86233,315,4,5,5831
86234,315,25,2,2433
86235,315,53,1,4963
86236,315,23,4,748
86237,316,21,2,630
86238,316,32,4,3745
86239,316,54,2,7100
86240,316,44,1,2662
86241,316,50,4,4092
86242,316,46,4,2881
86243,316,37,5,232
86244,316,49,5,168
86245,316,53,1,5254
86246,316,3,2,4099
86247,316,40,5,2493
86248,316,2,4,4020
86249,316,12,3,4051
86250,316,47,1,1537
86251,316,29,5,4848
86252,316,53,5,4025
86253,316,19,4,668
86254,316,12,2,6356
86255,316,48,2,4977
86256,316,20,1,3749
86257,316,22,1,5713
86258,316,43,2,7362
86259,316,14,4,2034
86260,316,52,5,7615
86261,316,4,5,7943
86262,316,45,2,2743
86263,316,19,1,6276
86264,316,16,5,5570
86265,316,23,4,1242
86266,316,32,2,1356
86267,316,52,2,4868
86268,316,48,4,6675
86269,316,40,1,3441
86270,316,20,2,7259
86271,316,10,5,6795
86272,316,19,2,2387
86273,316,26,3,7476
86274,316,8,5,5766
86275,316,22,3,2351
86276,316,51,3,3372
86277,316,39,3,4138
86278,316,4,4,6788
86279,316,14,1,2061
86280,316,41,3,7478
86281,316,3,5,6023
86282,316,33,1,6184
86283,316,47,4,954
86284,316,4,1,546
86285,316,6,1,3700
86286,316,30,4,3553
86287,316,54,4,4883
86288,316,5,1,6030
86289,316,56,4,622
86290,316,36,1,4251
86291,316,24,3,7452
86292,316,11,2,7815
86293,316,52,4,6712
86294,316,21,4,4127
86295,316,1,2,654
86296,316,49,4,349
86297,316,21,1,7159
86298,316,51,1,2291
86299,316,14,2,2550
86300,316,38,4,5034
86301,316,50,2,3814
86302,316,10,2,7846
86303,316,2,2,6602
86304,316,28,5,3702
86305,316,17,3,4266
86306,316,28,1,1062
86307,316,33,3,225
86308,316,9,4,3610
86309,316,5,4,7734
86310,316,9,5,5188
86311,316,53,2,4915
86312,316,42,1,4522
86313,316,27,2,2279
86314,316,13,1,6498
86315,316,34,2,4811
86316,316,21,3,5005
86317,316,26,4,6278
86318,316,28,2,7972
86319,316,44,2,4523
86320,316,15,2,7498
86321,316,38,1,191
86322,316,38,3,4976
86323,316,46,2,2918
86324,316,31,3,7471
86325,316,45,5,6227
86326,316,19,3,6926
86327,316,12,4,4094
86328,316,25,2,1618
86329,316,36,5,356
86330,316,26,2,5475
86331,316,41,4,4313
86332,316,16,2,5750
86333,316,55,5,5785
86334,316,45,4,2033
86335,316,31,2,504
86336,316,25,4,5016
86337,316,27,3,6572
86338,316,50,3,6194
86339,316,8,3,4253
86340,316,18,5,5807
86341,316,34,5,5296
86342,316,48,3,2578
